train/test,log type,severity,class,text,Reference,label_4class,label_node,label_job,label_total
train,syslog,3,file system,kernel: LustreError: [kNUM]: Nothing registered for client mount! Is the 'lustre' module lo[kNUM]?,,0,1,1,1
train,DELL LC ,3,storage,The FRU on storage sled arg1 is not functioning.,,0,1,1,1
test,syslog,3,service,"systemd: local_scratch.mount: Mount process exited, code=exited status=32",,0,1,1,1
train,syslog,3,file system,mmfs: [E] Close connection [ip] [sth NODE ID] <c0n[interface ID]>:[0] (Broken pipe). Attempting reconnect.,,0,1,1,1
train,syslog,3,storage,"kernel: Buffer I/O error on dev sdb1, logical block 128, async page read",,0,1,1,1
test,syslog,3,file system,"mmfs: [X] Recovery Log I/O failed, unmounting file system gpfs.sr06",,0,1,1,1
train,DELL LC ,3,"bmc, management module",The Management Engine firmware has recovered from one or more correctable errors.,,0,1,1,1
train,syslog,3,switch,"kernel: nvidia-nvswitch0: SXid (PCI:[device id]): 19084, Non-fatal, Link 09 AN1 Heartbeat Timeout Error (First)",,0,1,1,1
train,syslog,3,service,systemd: LSF.mount: Mounting timed out. Terminating.,,0,1,1,1
train,DELL LC ,3,"bmc, management module",iDRAC communication failure.,,0,1,1,1
train,syslog,2,os,kernel: watchdog: BUG: soft lockup - CPU#[CPU NUM] stuck for [SEC]s! [zabbix_agent2:[NUM],https://blog.servis.co.kr/index.php/2019/03/06/kernelbug-soft-lockup-cpu7-stuck-for-67s/,0,1,1,1
train,DELL LC ,2,battery,arg1 is unable to recover cached data from the Battery Backup Unit (BBU).,,0,1,1,1
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp Exception (GPC 0, TPC 3, SM [NUM]:) Illegal Instruction",,0,1,1,1
train,DELL LC ,2,power,A failure detected on power unit arg1 .,,0,1,1,1
train,DELL LC ,3,memory,"Memory device status is critical. Memory device location: arg1 , Possible memory module event cause: arg2 .",,0,1,1,1
train,syslog,3,service,systemd: nvidia-fabricmanager.service: Processes still around after final SIGKILL. Entering failed mode.,,0,1,1,1
train,DELL LC ,3,fan,The fans are not redundant. Insufficient resources to maintain normal operations.,,0,1,1,1
train,HPE IML,3,"setting, config","HPE Persistent Memory Configuration Error:(Major Code:%1, Minor Code:%2)",,0,1,1,1
train,syslog,3,gpu,kernel: nvidia [device id]: can't recover (no error_detected callback),,0,1,1,1
train,DELL LC ,3,storage,Fault detected on drive arg1 .,,0,1,1,1
train,syslog,3,"bios, firmware, driver",kernel: NVRM: The NVIDIA probe routine was not called for 4 device(s).,https://forums.developer.nvidia.com/t/nvidia-issue/177273/15,0,1,1,1
train,syslog,3,file system,mmsysmon: [E] Event raised: Physical link of the NIC ens[eth ID] is down,,0,1,1,1
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 94, pid=[PIDNUM], Ch [kNUM]",,0,1,1,1
train,syslog,3,gpu,"NVRM: Xid (PCI:0000:41:00): 31, pid=959064, Ch 00000012, intr 00000000. MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_13 faulted @ 0x14f4_84000000. Fault is of type FAULT_PDE ACCESS_TYPE_VIRT_READ",,0,1,1,1
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp Exception (GPC 0, TPC 0, SM [NUM]:) MMU Fault",,0,1,1,1
train,syslog,3,file system,kernel: LustreError: LOG ID:(lmv_o[kNUM]:[kNUM]:lmv_quotactl()) getquota [path] 10 failed. -4,,0,1,1,1
train,DELL LC ,2,"bios, firmware, driver",BIOS corruption is detected in the server.,,0,1,1,1
test,HPE IML,3,memory,MemBIST MEMTEST: Uncorrectable memoryerror,,0,1,1,1
test,DELL LC ,3,"bus, io module, pci",One or more PCIe device errors occurred in the previous boot.,,0,1,1,1
train,DELL LC ,2,board,arg1 has crossed the minimum failure threshold.,,0,1,1,1
test,syslog,3,"bmc, management module","kernel: ipmi_si IPI[kNUM]:00: The BMC does not support setting the recv irq bit, compensating, but the BMC needs to be fixed.","https://openipmi-developer.narkive.com/K6HoYoVk/bug-ipmi-null-device-printing-in-check-set-rcv-irq, https://lists.ubuntu.com/archives/kernel-team/2015-August/061623.html",0,1,1,1
train,syslog,3,storage,"Server_Administrator: [NUM] - Storage Service Severity: Warning, Category: Storage, MessageID: CTL55, Message: Controller 0 (PERC H745 Adapter) event log: Enclosure PD 86(c None[path]) phy bad for slot 1",,0,1,1,1
train,HPE IML,3,memory,Persistent memory error,,0,1,1,1
train,DELL LC ,2,storage,Disk drive bay temperature is less than the lower critical threshold.,,0,1,1,1
train,DELL LC ,3,"bmc, management module",iDRAC is not responding after a recovery system reset was performed.,,0,1,1,1
train,syslog,3,nic,kernel: ? tg3_io_error_detected+[ADDR][path] [tg3],,0,1,1,1
train,syslog,3,file system,"mmfs: Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]: reason 46 Failure reason mmchdisk for any disk failures and re-mount.",,0,1,1,1
test,syslog,3,file system,auditd: Audit daemon suspending logging due to no space left on logging partition.,https://techintguru.blogspot.com/2017/04/audit.html,0,1,1,1
test,DELL LC ,2,"voltage, current",The system board arg1 current is outside of range.,,0,1,1,1
test,syslog,3,service,systemd: nvidia-fabricmanager.service: Killing [PID] (nv-fabricmanage) with signal SIGKILL.,,0,1,1,1
train,DELL LC ,3,nic,Unable to connect to DHCP server.,,0,1,1,1
train,DELL LC ,3,memory,The Non-Volatile Dual In-line Memory Module (NVDIMM) device in the slot arg1 has lost persistency and is placed in write-protect mode.,,0,1,1,1
train,DELL LC ,3,"bmc, management module",The Intel Management Engine has indicated that an SMBus link failure has occurred.,,0,1,1,1
test,syslog,3,file system,"mmfs: [E] Leaving cluster sr06.[sth NODE ID], due to expired lease",,0,1,1,1
train,DELL LC ,2,power,Power supply arg1 is absent.,,0,1,1,1
train,syslog,3,file system,mmsysmon: [E] Event raised: Reconnect to [ip] [vngpuc NODE ID] <c0n[interface ID]> failed,,0,1,1,1
train,syslog,3,gpu,"NVRM: Xid (PCI:0000:84:00): 62, pid=8676, 0a99(17e8) 040113d9 575e2859",,0,1,1,1
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_12 faulted @ 0x[kNUM]_[kNUM] Fault is of type FAULT_PTE  access_TYPE_VIRT_READ",,0,1,1,1
train,DELL LC ,3,memory,Multi-bit ECC error on arg1 DIMM.,,0,1,1,1
train,syslog,3,os,kdumpctl: dracut: installkernel failed in module kernel-modules-extra,,0,1,1,1
train,syslog,3,file system,mmfs: [X] A severe error was encountered during cluster probe.,,0,1,1,1
train,HPE IML,2,power,NVDIMM backup power has been lost and afuture backup is not possible,,0,1,1,1
train,syslog,3,file system,"kernel: LNetError: LOG ID:(o2iblnd_[kNUM]:[kNUM]:kiblnd_check_txs_locked()) Timed out tx: tx_queue, [SEC] seconds",,0,1,1,1
train,DELL LC ,3,"bus, io module, pci",A PCI parity error was detected on a component at bus arg1 device arg2 function arg3 .,,0,1,1,1
test,HPE IML,3,memory,A memory error has occurred,,0,1,1,1
train,DELL LC ,2,"bus, io module, pci",Power fault event has occurred in the IO Module in slot arg1 .,,0,1,1,1
train,syslog,3,"bios, firmware, driver",kernel: nvidia_peermem: Unknown symbol nvidia_p2p_dma_map_pages (err -22),,0,1,1,1
train,HPE IML,2,power,Power fault detected: Embedded storagecontroller,,0,1,1,1
test,syslog,3,file system,"mmfs: [X] File System gpfs.sr06 unmounted by the system with return code 16, reason 1358466932, at line 1132 in [path]",,0,1,1,1
train,HPE IML,3,memory,HPE Persistent Memory Module error,,0,1,1,1
train,syslog,3,file system,kernel: LustreError: LOG ID:(layout.c:[kNUM]:__req_capsule_get()) @@@ Wrong buffer for field `obd_quotactl' ([NUM] of 1) in format `OST_QUOTACTL': 0 vs. 112 (server)#012 req@[ID] x[ID][path]([NUM]) o19->lsr07-OST[kNUM]osc-[ID]@[ip]@o2ib:28[path] lens 336[path] e 0 to 0 dl [kNUM] ref 1 fl Complete:RN[path] rc [kNUM][path],,0,1,1,1
train,DELL LC ,3,storage,Optical Drive arg1 - Incorrect status = arg2 arg3 .,,0,1,1,1
test,DELL LC ,2,board,The chassis inlet temperature is greater than the upper critical threshold temperature.,,0,1,1,1
train,DELL LC ,2,fan,arg1 RPM is outside of normal operating range.,,0,1,1,1
train,syslog,3,file system,sa1: Cannot write data to system activity file: no space left on device,,0,1,1,1
train,DELL LC ,3,memory,ECC Memory error rate failover condition detected.,,0,1,1,1
train,syslog,3,os,"dracut: dracut module 'stratis' will not be installed, because command 'stratisd-init' could not be found!",,0,1,1,1
test,syslog,3,file system,kernel: LustreError: [kNUM]: lscr21-MDT[kNUM]mdc-[ID]: operation to node [ip]@o2ib[eth ID] failed: rc = -16,,0,1,1,1
train,syslog,3,storage,"Server_Administrator: [NUM] - Storage Service Severity: Critical, Category: Storage, MessageID: STOR0212, Message: The Enclosure 0:1 [path] 0 at Connector 0 has failed.",,0,1,1,1
train,DELL LC ,3,power,The use of 110V is unacknowledged and the chassis cannot grant power on permission to the server.,,0,1,1,1
train,syslog,3,switch,"kernel: nvidia-nvswitch2: SXid (PCI:[device id]): 26002, Failed to boot SOE([NUM])",,0,1,1,1
train,HPE IML,2,fan,"%1 Storage system fan failure (%2 Slot %3, Fan%4, Location %5)",,0,1,1,1
train,HPE IML,3,cpu,Processor Built-In Self-Test (BIST) failure,,0,1,1,1
train,syslog,2,power,"Server_Administrator: [NUM] - Instrumentation Severity: Critical, Category: System Health, MessageID: PSU0912, Message: A failure detected [path] unit PS2 Status.",,0,1,1,1
train,HPE IML,3,memory,HPE Persistent Memory Error,,0,1,1,1
train,syslog,3,gpu,"NVRM: Xid (PCI:0000:08:00): 69, pid=222118, Class Error: ChId 004b, Class 0000c197, Offset 00001944, Data 00000005, ErrorCode 0000000c",,0,1,1,1
test,DELL LC ,3,storage,The peripheral sled in the slot arg1 has an internal cable disconnected or is missing required expanders.,,0,1,1,1
train,syslog,3,os,"dracut: dracut module 'plymouth' will not be installed, because it's in the list to be omitted!",,0,1,1,1
train,DELL LC ,3,board,Unable to turn on the server because the chassis cover is open.,,0,1,1,1
train,syslog,3,file system,mmsysmon: [E] Event raised: The file system gpfs.ml3 was forced (forced) to unmount.,,0,1,1,1
test,syslog,3,file system,pmlogger_daily: mktemp: failed to create directory via template ??path]?? no space left on device,,0,1,1,1
train,DELL LC ,2,power,The power cord sensor is non-functional.,,0,1,1,1
train,DELL LC ,2,cpu,CPU arg1 protocol error detected.,,0,1,1,1
train,DELL LC ,2,"voltage, current",The disk drive bay arg1 voltage is less than the lower critical threshold.,,0,1,1,1
train,DELL LC ,2,power,Power supply arg1 failed.,,0,1,1,1
train,DELL LC ,2,"voltage, current",The system board arg1 current is less than the lower critical threshold.,,0,1,1,1
train,DELL LC ,2,power,An interlock power down error detected on power unit arg1 .,,0,1,1,1
train,syslog,3,file system,abrtd: Marking '[path][TIMESTAMP]' not reportable (no 'count' item),https://forums.fedoraforum.org/showthread.php?295214-systemd-and-separate-var-partition,0,1,1,1
test,DELL LC ,3,memory,Single-bit ECC error limit exceeded on the arg1 DIMM.,,0,1,1,1
train,syslog,3,file system,"kernel: LustreError: LOG ID:(osc_request.c:[kNUM]:brw_interpret()) lsr05-OST[kNUM]osc-[ID]: too many resent retries for object: 107LOG I[kNUM], rc = [kNUM]",,0,1,1,1
train,syslog,3,service,"kernel: lockd: failed to reclaim lock for [PID] (errno 0, status 1)",,0,1,1,1
train,syslog,3,"bios, firmware, driver",kernel: nvidia: module verification signature and/or required key missing - tainting kernel,,0,1,1,1
train,DELL LC ,2,board,The chassis inlet temperature is less than the lower critical threshold temperature.,,0,1,1,1
train,HPE IML,3,memory,NVDIMM is not accessible,,0,1,1,1
train,syslog,3,file system,"mmfs: [X] Health check thread is unresponsive, suspending disk lease renewals",,0,1,1,1
train,HPE IML,3,memory,HPE Persistent Memory Health Error: Processor%1 DIMM %2 (SN: %3),,0,1,1,1
test,DELL LC ,2,cpu,CPU arg1 is absent,,0,1,1,1
test,syslog,3,"resource management, scheduler",kernel: [PID](systemd-journal) over core_pipe_limit,,0,1,1,1
train,syslog,3,file system,mmsysmon: [E] Event raised: The IBM Spectrum Scale service process not running [path] node. Normal operation be done.,,0,1,1,1
test,syslog,3,storage,"kernel: ata[kNUM]: HPA support seems broken, skipping HPA handling",google : [log],0,1,1,1
train,DELL LC ,2,cpu,CPU arg1 has a thermal trip (over-temperature) event.,,0,1,1,1
train,DELL LC ,2,cpu,CPU arg1 initialization error detected.,,0,1,1,1
train,syslog,3,service,"systemd: libvirtd.service: Main process exited, code=exited, status=3[path]",,0,1,1,1
train,syslog,3,os,kernel: arp_error_report+[ADDR][path],https://lkml.iu.edu/hypermail/linux/kernel/1005.3/02089.html,0,1,1,1
test,DELL LC ,3,"bus, io module, pci",Internal I/O failure.,,0,1,1,1
train,DELL LC ,2,"voltage, current",The power input for CPU arg1 voltage regulator module is lost.,,0,1,1,1
train,DELL LC ,2,cpu,CPU arg1 temperature is outside of range.,,0,1,1,1
train,DELL LC ,3,storage,Bad block medium error is detected at block arg1 on arg2 .,,0,1,1,1
test,DELL LC ,2,power,Power supply cable has been removed from arg1 .,,0,1,1,1
train,syslog,3,file system,collectl: E-Error writing to raw.gz file: no space left on device,https://ko.linux-console.net/?p=1093#gsc.tab=0,0,1,1,1
train,HPE IML,3,"bus, io module, pci",PCIe Full Slot Training Failure,,0,1,1,1
train,DELL LC ,2,"voltage, current",An under current fault detected on power supply arg1 .,,0,1,1,1
train,DELL LC ,2,power,Power supply arg1 revision mismatch detected.,,0,1,1,1
train,DELL LC ,2,"voltage, current",Processor module arg1 voltage is greater than the upper critical threshold.,,0,1,1,1
train,DELL LC ,2,cpu,CPU arg1 is stuck in POST.,,0,1,1,1
train,DELL LC ,3,board,Unable to turn on the server because of current chassis storage setup or the chassis storage settings.,,0,1,1,1
train,syslog,3,switch,"kernel: nvidia-nvswitch5: SXid (PCI:[device id]): [kNUM], SOE HALTED",,0,1,1,1
train,DELL LC ,3,memory,An uncorrectable Memory Error has occurred because a Non-Volatile Dual In-line Memory Module (NVDIMM) is not functioning.,,0,1,1,1
train,HPE IML,3,memory,Unsupported NVDIMM-N configuration detected- Processor %1 DIMM %2,,0,1,1,1
test,syslog,3,file system,kernel: LNetError: LOG ID:(o2iblnd.c:[kNUM]:kiblnd_startup()) ko2iblnd: No matching interfaces,,0,1,1,1
train,DELL LC ,2,board,System board - Data errors.,,0,1,1,1
train,DELL LC ,3,nic,Unable to connect to the DNS server.,,0,1,1,1
train,DELL LC ,3,"bus, io module, pci",Intel QPI interconnect arg1 has degraded.,,0,1,1,1
train,syslog,3,file system,kernel: LustreError: LOG ID:(llite_lib.c:[kNUM]:ll_md_setattr()) md_setattr fails: rc = -4,,0,1,1,1
train,DELL LC ,3,"bus, io module, pci",One or more PCIe switch heatsinks are not properly attached.,,0,1,1,1
train,DELL LC ,2,board,The system inlet temperature is greater than the upper critical threshold.,,0,1,1,1
train,syslog,3,switch,nv-fabricmanager: NVSwitch port connected to GPU index [IDX] pci bus id [ID][device id] experienced an NVLink fatal error and requires port reset to recover. All the running CUDA jobs [path] GPU will be affected.#012Resetting the specified GPU may clear the issue. Please refer to your system user [USER ID] for GPU reset instructions.,,0,1,1,1
train,syslog,3,"bus, io module, pci","Server_Administrator: [NUM] - Instrumentation Severity: Warning, Category: System Health, MessageID: SYS105, Message: Unable to process the event: A bus fatal error was detected [path] component at slot 21. Date and time of event: Sun Oct 9 23:49:51 2022.",,0,1,1,1
test,DELL LC ,2,"voltage, current",System level current is greater than the upper critical threshold.,,0,1,1,1
test,HPE IML,3,"bios, firmware, driver",Server Platform Services Firmware in RecoveryMode. System Halted.,,0,1,1,1
train,syslog,3,file system,kernel: LustreError: LOG ID:(osc_request.c:[kNUM]:osc_init_grant()) lsr05-OST[kNUM]osc-[ID]: granted [kNUM] but already consumed [kNUM],,0,1,1,1
train,syslog,3,memory,kernel: bad_page.col[kNUM]+[ADDR][path],http://barriosstory.blogspot.com/2009/08/bad-page-state.html,0,1,1,1
train,DELL LC ,3,memory,A DIMM with an incompatible number of ranks is installed on memory slot: arg1 .,,0,1,1,1
train,syslog,3,file system,mmsysmon: [E] Event raised: The filesystem gpfs.sr06 was forced (forced) to unmount,,0,1,1,1
train,DELL LC ,3,memory,Memory resource allocation failure.,,0,1,1,1
train,DELL LC ,3,nic,"Unable to access server: arg1 , because the NIC is disabled on the identified server.",,0,1,1,1
test,DELL LC ,2,cpu,CPU arg1 machine check error detected.,,0,1,1,1
train,DELL LC ,2,power,Unable to process the power-on request because of an internal error.,,0,1,1,1
train,DELL LC ,2,power,The Chassis Manager is unable to obtain valid power allocation values because of an internal error.,,0,1,1,1
test,DELL LC ,3,power,Server failed to power up due to noncontinuous power action.,,0,1,1,1
train,HPE IML,3,memory,DIMM failure - Uncorrectable memory error - %1%2 Dimm %3.,,0,1,1,1
train,syslog,3,file system,kernel: LustreError: LOG ID:(obd_config.c:559:class_setup()) setup MGC[ip]@o2ib failed (-2),,0,1,1,1
train,syslog,3,os,"dracut: dracut module 'btrfs' will not be installed, because command 'btrfs' could not be found!",https://bugzilla.redhat.com/show_bug.cgi?id=1961935,0,1,1,1
train,DELL LC ,3,storage,Hard Drive - Not installed.,,0,1,1,1
train,HPE IML,3,"bus, io module, pci",Unsupported PCIe Card Configuration. The PCIedevice installed in Slot %1 is not supported in thecurrent location.,,0,1,1,1
test,DELL LC ,3,"bmc, management module",The CMC/MM is unable to turn on the I/O module arg1 .,,0,1,1,1
test,DELL LC ,2,battery,The system board battery is absent.,,0,1,1,1
train,DELL LC ,3,"voltage, current",An error occurred during Voltage Regulator (VR) initialization on memory riser arg1 .,,0,1,1,1
train,HPE IML,3,storage,Drive array controller error,,0,1,1,1
train,DELL LC ,2,"bmc, management module",The Management Module at slot arg1 has detected thermal issues.,,0,1,1,1
train,HPE IML,3,storage,Drive failure,,0,1,1,1
train,DELL LC ,2,power,Soft power control failure detected on power unit arg1 .,,0,1,1,1
train,syslog,3,file system,kernel: LustreError: [kNUM]: MGC[ip]@o2ib[eth ID]: connection MGS (at [ip]@o2ib[eth ID]) was lost; in progress operations using this service will fail,,0,1,1,1
test,HPE IML,3,storage,Slot X Drive Array: Cache Module critical error,,0,1,1,1
train,DELL LC ,3,nic,Unable to Send the Test Trap because the Entered Destination Address is Invalid or Not Reachable.,,0,1,1,1
train,syslog,3,"bios, firmware, driver","openib[eth ID]: Module ib_ipoib does not exist, skipping...#033[60G[#033[1;31mFAILED#033[0;39m]",,0,1,1,1
train,syslog,3,storage,"kernel: nvme nvme0: I/O 5 QID [ID] timeout, completion",,0,1,1,1
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE HOST2 HUBCLIENT_ESC faulted @ [ADDR]_[kNUM] Fault is of type FAULT_PDE  access_TYPE_VIRT_READ",,0,1,1,1
train,syslog,3,storage,"kernel: blk_update_request: critical target error, dev nvme1n1, sector [NUM] op [ADDR]:(READ) flags [ADDR] phys_seg [NUM] prio class 0",,0,1,1,1
test,DELL LC ,3,memory,The data in the Persistent Memory DIMM located in memory slot arg1 is not accessible because the DIMM is locked and the passphrase is incorrect.,,0,1,1,1
test,HPE IML,3,storage,RAID level invalid,,0,1,1,1
train,syslog,3,file system,kernel: XFS (md[NUM]:) log mount[path] failed: error -5,,0,1,1,1
train,DELL LC ,3,"bmc, management module",The Management Engine experienced a HECI error: arg1 .,,0,1,1,1
train,DELL LC ,2,cpu,Unrecoverable CPU complex error detected on CPU arg1 .,,0,1,1,1
test,syslog,3,service,systemd: gpfs.service: Killing [PID] (runmmfs) with signal SIGKILL.,,0,1,1,1
test,DELL LC ,2,battery,The coin cell battery in CMC arg1 is not working.,,0,1,1,1
test,DELL LC ,3,nic,Unable to access server: arg1 because both IPv4 and IPv6 are disabled. NIC Enabled = arg2 .,,0,1,1,1
test,syslog,3,switch,nv-fabricmanager: NVSwitch failure detected and degraded mode configuration to abort Fabric Manager,,0,1,1,1
train,syslog,3,file system,"mmfs: Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]: reason 2 Failure reason failed for gpfs.sr06 after daemon",,0,1,1,1
train,DELL LC ,3,"bmc, management module",The Chassis Controller/Management Module is not responding or is not inserted properly. The status of Chassis Controller/Management Module is critical.,,0,1,1,1
train,syslog,3,gpu,"NVRM: Xid (PCI:0000:84:00): 13, pid=1238, Graphics SM Warp Exception on (GPC 1, TPC 2): Misaligned Address",,0,1,1,1
train,syslog,3,service,gdrcopy: libkmod: kmod_module_get_holders: could not open '[path]': No such file or directory,,0,1,1,1
test,DELL LC ,2,board,The system inlet temperature is outside of range.,,0,1,1,1
test,DELL LC ,3,storage,Drive mismatch detected for drive arg1 in disk drive bay arg2 .,,0,1,1,1
train,HPE IML,3,cpu,Unsupported processor detected,,0,1,1,1
train,syslog,3,file system,kernel: LNetError: LOG ID:(o2iblnd.c:[kNUM]:kiblnd_startup()) ko2iblnd: Can't initialize device: rc = -19,,0,1,1,1
train,syslog,3,gpu,"NVRM: Xid (PCI:0000:0a:00): 32, Channel ID 00000050 intr 00040000",,0,1,1,1
train,DELL LC ,2,power,Power lost on power unit arg1 .,,0,1,1,1
train,DELL LC ,3,storage,"Hard Drive arg1 - S/N arg2 , incorrect status = arg3 \n arg4 .",,0,1,1,1
train,DELL LC ,2,storage,No bootable devices.,,0,1,1,1
train,HPE IML,2,power,Power fault detected: Mezzanine X,,0,1,1,1
train,DELL LC ,3,memory,Memory interconnect degraded.,,0,1,1,1
train,DELL LC ,2,"voltage, current",The arg1 voltage is greater than the upper critical threshold.,,0,1,1,1
train,syslog,2,"voltage, current",Server_Administrator: [NUM] - Instrumentation Voltage sensor value unknown #012Sensor location: PS1 Voltage 1 #012Chassis location: Main System Chassis #012Previous state was: OK (Normal) #012Voltage sensor value (in Volts): 0.000,,0,1,1,1
train,syslog,3,gpu,"NVRM: Xid (PCI:0000:01:00 GPU-I:05): 94, pid=7194, Contained: CE User Channel (0x9). RST: No, D-RST: No",,0,1,1,1
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 94, pid=[PIDNUM], Contained: SM ([NUM]x1). RST: No, D-RST: No",,0,1,1,1
test,HPE IML,3,storage,Smart array drive(s) failed,,0,1,1,1
train,HPE IML,3,"bus, io module, pci","Uncorrectable PCI Express Error Detected.NVMe Box %1 Bay %2 (Segment 0x%3, Bus0x%4, Device 0x%5, Function 0x%6).Uncorrectable Error Status: 0x%7",,0,1,1,1
train,DELL LC ,2,battery,The arg1 battery has reached the end of its life.,,0,1,1,1
train,DELL LC ,3,nic,Unable to execute the command because the target device IP is not reachable: arg1 .,,0,1,1,1
