train/test,log type,severity,class,text,Reference,label_4class,label_node,label_job,label_total,masked_text
train,syslog,3,service,systemd: LSF.mount: Mounting timed out. Terminating.,,0,1,1,1,lsf mounting timed out terminating
train,DELL LC ,3,"bmc, management module",iDRAC communication failure.,,0,1,1,1,communication
train,syslog,2,os,kernel: watchdog: BUG: soft lockup - CPU#[CPU NUM] stuck for [SEC]s! [zabbix_agent2:[NUM],https://blog.servis.co.kr/index.php/2019/03/06/kernelbug-soft-lockup-cpu7-stuck-for-67s/,0,1,1,1,soft lockup NUM stuck for NUM s zabbix agent2 NUM
train,DELL LC ,2,battery,arg1 is unable to recover cached data from the Battery Backup Unit (BBU).,,0,1,1,1,ARG recover cached data from backup bbu
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp Exception (GPC 0, TPC 3, SM [NUM]:) Illegal Instruction",,0,1,1,1,ID 13 NUM warp gpc 0 tpc NUM illegal instruction
train,DELL LC ,2,power,A failure detected on power unit arg1 .,,0,1,1,1,ARG
train,DELL LC ,3,memory,"Memory device status is critical. Memory device location: arg1 , Possible memory module event cause: arg2 .",,0,1,1,1,ARG possible event cause ARG
train,syslog,3,service,systemd: nvidia-fabricmanager.service: Processes still around after final SIGKILL. Entering failed mode.,,0,1,1,1,fabricmanager processes still around after final sigkill entering mode
train,DELL LC ,3,fan,The fans are not redundant. Insufficient resources to maintain normal operations.,,0,1,1,1,fans redundant resources maintain normal operations
train,HPE IML,3,"setting, config","HPE Persistent Memory Configuration Error:(Major Code:%1, Minor Code:%2)",,0,1,1,1,minor
train,syslog,3,gpu,kernel: nvidia [device id]: can't recover (no error_detected callback),,0,1,1,1,ID can t recover callback
train,DELL LC ,3,storage,Fault detected on drive arg1 .,,0,1,1,1,ARG
train,syslog,3,"bios, firmware, driver",kernel: NVRM: The NVIDIA probe routine was not called for 4 device(s).,https://forums.developer.nvidia.com/t/nvidia-issue/177273/15,0,1,1,1,probe routine called for 4 s
train,syslog,3,file system,mmsysmon: [E] Event raised: Physical link of the NIC ens[eth ID] is down,,0,1,1,1,event physical ens NETIF
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 94, pid=[PIDNUM], Ch [kNUM]",,0,1,1,1,ID 94 NUM NUM
train,syslog,3,gpu,"NVRM: Xid (PCI:0000:41:00): 31, pid=959064, Ch 00000012, intr 00000000. MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_13 faulted @ 0x14f4_84000000. Fault is of type FAULT_PDE ACCESS_TYPE_VIRT_READ",,0,1,1,1,41 31 959064 00000012 intr 00000000 mmu gpcclient t1 13 faulted 0x14f4 84000000 pde access virt read
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp Exception (GPC 0, TPC 0, SM [NUM]:) MMU Fault",,0,1,1,1,ID 13 NUM warp gpc 0 tpc 0 NUM mmu
train,syslog,3,file system,kernel: LustreError: LOG ID:(lmv_o[kNUM]:[kNUM]:lmv_quotactl()) getquota [path] 10 failed. -4,,0,1,1,1,lmv o NUM NUM lmv quotactl getquota PATH 10 4
train,DELL LC ,2,"bios, firmware, driver",BIOS corruption is detected in the server.,,0,1,1,1,corruption
test,HPE IML,3,memory,MemBIST MEMTEST: Uncorrectable memoryerror,,0,1,1,1,membist memtest uncorrectable memoryerror
test,DELL LC ,3,"bus, io module, pci",One or more PCIe device errors occurred in the previous boot.,,0,1,1,1,one more errors previous boot
train,DELL LC ,2,board,arg1 has crossed the minimum failure threshold.,,0,1,1,1,ARG crossed minimum
test,syslog,3,"bmc, management module","kernel: ipmi_si IPI[kNUM]:00: The BMC does not support setting the recv irq bit, compensating, but the BMC needs to be fixed.","https://openipmi-developer.narkive.com/K6HoYoVk/bug-ipmi-null-device-printing-in-check-set-rcv-irq, https://lists.ubuntu.com/archives/kernel-team/2015-August/061623.html",0,1,1,1,ipmi si ipi NUM bmc does support setting recv irq bit compensating but bmc needs fixed
train,syslog,3,storage,"Server_Administrator: [NUM] - Storage Service Severity: Warning, Category: Storage, MessageID: CTL55, Message: Controller 0 (PERC H745 Adapter) event log: Enclosure PD 86(c None[path]) phy bad for slot 1",,0,1,1,1,administrator NUM severity warning category messageid ctl55 message 0 perc h745 adapter event enclosure pd 86 c none PATH phy bad for
train,HPE IML,3,memory,Persistent memory error,,0,1,1,1,__EMPTY_MASKED__
train,DELL LC ,2,storage,Disk drive bay temperature is less than the lower critical threshold.,,0,1,1,1,disk bay
train,DELL LC ,3,"bmc, management module",iDRAC is not responding after a recovery system reset was performed.,,0,1,1,1,after recovery performed
train,syslog,3,nic,kernel: ? tg3_io_error_detected+[ADDR][path] [tg3],,0,1,1,1,tg3 ADDR PATH tg3
train,syslog,3,file system,"mmfs: Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]: reason 46 Failure reason mmchdisk for any disk failures and re-mount.",,0,1,1,1,phoenix ID tag ID reason 46 reason mmchdisk for any disk failures and re
test,syslog,3,file system,auditd: Audit daemon suspending logging due to no space left on logging partition.,https://techintguru.blogspot.com/2017/04/audit.html,0,1,1,1,auditd audit daemon suspending logging due space left logging partition
test,DELL LC ,2,"voltage, current",The system board arg1 current is outside of range.,,0,1,1,1,ARG
test,syslog,3,service,systemd: nvidia-fabricmanager.service: Killing [PID] (nv-fabricmanage) with signal SIGKILL.,,0,1,1,1,fabricmanager killing fabricmanage signal sigkill
train,DELL LC ,3,nic,Unable to connect to DHCP server.,,0,1,1,1,dhcp
train,DELL LC ,3,memory,The Non-Volatile Dual In-line Memory Module (NVDIMM) device in the slot arg1 has lost persistency and is placed in write-protect mode.,,0,1,1,1,non volatile line ARG lost persistency and placed write protect mode
train,DELL LC ,3,"bmc, management module",The Intel Management Engine has indicated that an SMBus link failure has occurred.,,0,1,1,1,intel indicated an smbus
test,syslog,3,file system,"mmfs: [E] Leaving cluster sr06.[sth NODE ID], due to expired lease",,0,1,1,1,leaving cluster sr06 sth due expired lease
train,DELL LC ,2,power,Power supply arg1 is absent.,,0,1,1,1,ARG
train,syslog,3,file system,mmsysmon: [E] Event raised: Reconnect to [ip] [vngpuc NODE ID] <c0n[interface ID]> failed,,0,1,1,1,event ADDR vngpuc NETIF
train,syslog,3,gpu,"NVRM: Xid (PCI:0000:84:00): 62, pid=8676, 0a99(17e8) 040113d9 575e2859",,0,1,1,1,62 8676 0a99 17e8 040113d9 575e2859
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_12 faulted @ 0x[kNUM]_[kNUM] Fault is of type FAULT_PTE  access_TYPE_VIRT_READ",,0,1,1,1,ID 31 NUM NUM intr NUM mmu gpcclient t1 12 faulted NUM NUM pte access virt read
train,DELL LC ,3,memory,Multi-bit ECC error on arg1 DIMM.,,0,1,1,1,multi bit ecc ARG
train,syslog,3,os,kdumpctl: dracut: installkernel failed in module kernel-modules-extra,,0,1,1,1,kdumpctl installkernel modules extra
train,syslog,3,file system,mmfs: [X] A severe error was encountered during cluster probe.,,0,1,1,1,x severe encountered during cluster probe
train,HPE IML,2,power,NVDIMM backup power has been lost and afuture backup is not possible,,0,1,1,1,backup been lost and afuture backup possible
train,syslog,3,file system,"kernel: LNetError: LOG ID:(o2iblnd_[kNUM]:[kNUM]:kiblnd_check_txs_locked()) Timed out tx: tx_queue, [SEC] seconds",,0,1,1,1,lneterror o2iblnd NUM NUM kiblnd check txs locked timed out tx tx queue NUM seconds
train,DELL LC ,3,"bus, io module, pci",A PCI parity error was detected on a component at bus arg1 device arg2 function arg3 .,,0,1,1,1,parity ARG ARG function ARG
test,HPE IML,3,memory,A memory error has occurred,,0,1,1,1,__EMPTY_MASKED__
train,DELL LC ,2,"bus, io module, pci",Power fault event has occurred in the IO Module in slot arg1 .,,0,1,1,1,event ARG
train,syslog,3,"bios, firmware, driver",kernel: nvidia_peermem: Unknown symbol nvidia_p2p_dma_map_pages (err -22),,0,1,1,1,peermem unknown symbol p2p dma map pages err 22
train,HPE IML,2,power,Power fault detected: Embedded storagecontroller,,0,1,1,1,embedded storagecontroller
test,syslog,3,file system,"mmfs: [X] File System gpfs.sr06 unmounted by the system with return code 16, reason 1358466932, at line 1132 in [path]",,0,1,1,1,x gpfs sr06 unmounted by return 16 reason 1358466932 line 1132 PATH
train,HPE IML,3,memory,HPE Persistent Memory Module error,,0,1,1,1,__EMPTY_MASKED__
train,syslog,3,file system,kernel: LustreError: LOG ID:(layout.c:[kNUM]:__req_capsule_get()) @@@ Wrong buffer for field `obd_quotactl' ([NUM] of 1) in format `OST_QUOTACTL': 0 vs. 112 (server)#012 req@[ID] x[ID][path]([NUM]) o19->lsr07-OST[kNUM]osc-[ID]@[ip]@o2ib:28[path] lens 336[path] e 0 to 0 dl [kNUM] ref 1 fl Complete:RN[path] rc [kNUM][path],,0,1,1,1,layout c NUM req capsule get wrong buffer for field obd quotactl NUM format ost quotactl 0 vs 112 012 req ID x ID PATH o19 lsr07 ost NUM osc ID ADDR o2ib 28 PATH lens 336 PATH 0 0 dl NUM ref fl complete rn PATH rc NUM PATH
train,DELL LC ,3,storage,Optical Drive arg1 - Incorrect status = arg2 arg3 .,,0,1,1,1,optical ARG incorrect ARG ARG
test,DELL LC ,2,board,The chassis inlet temperature is greater than the upper critical threshold temperature.,,0,1,1,1,inlet greater upper
train,DELL LC ,2,fan,arg1 RPM is outside of normal operating range.,,0,1,1,1,ARG normal operating
train,syslog,3,file system,sa1: Cannot write data to system activity file: no space left on device,,0,1,1,1,sa1 write data activity space left
train,DELL LC ,3,memory,ECC Memory error rate failover condition detected.,,0,1,1,1,ecc rate failover condition
train,syslog,3,os,"dracut: dracut module 'stratis' will not be installed, because command 'stratisd-init' could not be found!",,0,1,1,1,stratis will installed command stratisd init could found
test,syslog,3,file system,kernel: LustreError: [kNUM]: lscr21-MDT[kNUM]mdc-[ID]: operation to node [ip]@o2ib[eth ID] failed: rc = -16,,0,1,1,1,NUM lscr21 mdt NUM mdc ID operation ADDR o2ib NETIF rc 16
train,syslog,3,storage,"Server_Administrator: [NUM] - Storage Service Severity: Critical, Category: Storage, MessageID: STOR0212, Message: The Enclosure 0:1 [path] 0 at Connector 0 has failed.",,0,1,1,1,administrator NUM severity category messageid stor0212 message enclosure 0 PATH 0 connector 0
train,DELL LC ,3,power,The use of 110V is unacknowledged and the chassis cannot grant power on permission to the server.,,0,1,1,1,use 110v unacknowledged and grant permission
train,syslog,3,switch,"kernel: nvidia-nvswitch2: SXid (PCI:[device id]): 26002, Failed to boot SOE([NUM])",,0,1,1,1,nvswitch2 ID 26002 boot NUM
train,HPE IML,2,fan,"%1 Storage system fan failure (%2 Slot %3, Fan%4, Location %5)",,0,1,1,1,4 5
train,HPE IML,3,cpu,Processor Built-In Self-Test (BIST) failure,,0,1,1,1,built self test bist
train,syslog,2,power,"Server_Administrator: [NUM] - Instrumentation Severity: Critical, Category: System Health, MessageID: PSU0912, Message: A failure detected [path] unit PS2 Status.",,0,1,1,1,administrator NUM instrumentation severity category health messageid psu0912 message PATH ps2
train,HPE IML,3,memory,HPE Persistent Memory Error,,0,1,1,1,__EMPTY_MASKED__
train,syslog,3,gpu,"NVRM: Xid (PCI:0000:08:00): 69, pid=222118, Class Error: ChId 004b, Class 0000c197, Offset 00001944, Data 00000005, ErrorCode 0000000c",,0,1,1,1,08 69 222118 class chid 004b class 0000c197 offset 00001944 data 00000005 errorcode 0000000c
test,DELL LC ,3,storage,The peripheral sled in the slot arg1 has an internal cable disconnected or is missing required expanders.,,0,1,1,1,peripheral sled ARG an internal disconnected missing required expanders
train,syslog,3,os,"dracut: dracut module 'plymouth' will not be installed, because it's in the list to be omitted!",,0,1,1,1,plymouth will installed it s list omitted
train,DELL LC ,3,board,Unable to turn on the server because the chassis cover is open.,,0,1,1,1,turn cover
train,syslog,3,file system,mmsysmon: [E] Event raised: The file system gpfs.ml3 was forced (forced) to unmount.,,0,1,1,1,event gpfs ml3 forced forced unmount
test,syslog,3,file system,pmlogger_daily: mktemp: failed to create directory via template ??path]?? no space left on device,,0,1,1,1,pmlogger daily mktemp create via template space left
train,DELL LC ,2,power,The power cord sensor is non-functional.,,0,1,1,1,cord non functional
train,DELL LC ,2,cpu,CPU arg1 protocol error detected.,,0,1,1,1,ARG protocol
train,DELL LC ,2,"voltage, current",The disk drive bay arg1 voltage is less than the lower critical threshold.,,0,1,1,1,disk bay ARG
train,DELL LC ,2,power,Power supply arg1 failed.,,0,1,1,1,ARG
train,DELL LC ,2,"voltage, current",The system board arg1 current is less than the lower critical threshold.,,0,1,1,1,ARG
train,DELL LC ,2,power,An interlock power down error detected on power unit arg1 .,,0,1,1,1,an interlock ARG
train,syslog,3,file system,abrtd: Marking '[path][TIMESTAMP]' not reportable (no 'count' item),https://forums.fedoraforum.org/showthread.php?295214-systemd-and-separate-var-partition,0,1,1,1,abrtd marking PATH reportable count item
test,DELL LC ,3,memory,Single-bit ECC error limit exceeded on the arg1 DIMM.,,0,1,1,1,single bit ecc exceeded ARG
train,syslog,3,file system,"kernel: LustreError: LOG ID:(osc_request.c:[kNUM]:brw_interpret()) lsr05-OST[kNUM]osc-[ID]: too many resent retries for object: 107LOG I[kNUM], rc = [kNUM]",,0,1,1,1,osc request c NUM brw interpret lsr05 ost NUM osc ID too many resent retries for 107log i NUM rc NUM
train,syslog,3,service,"kernel: lockd: failed to reclaim lock for [PID] (errno 0, status 1)",,0,1,1,1,lockd reclaim lock for errno 0
train,syslog,3,"bios, firmware, driver",kernel: nvidia: module verification signature and/or required key missing - tainting kernel,,0,1,1,1,verification signature and required key missing tainting
train,DELL LC ,2,board,The chassis inlet temperature is less than the lower critical threshold temperature.,,0,1,1,1,inlet
train,HPE IML,3,memory,NVDIMM is not accessible,,0,1,1,1,accessible
train,syslog,3,file system,"mmfs: [X] Health check thread is unresponsive, suspending disk lease renewals",,0,1,1,1,x health check thread unresponsive suspending disk lease renewals
train,HPE IML,3,memory,HPE Persistent Memory Health Error: Processor%1 DIMM %2 (SN: %3),,0,1,1,1,health sn
test,DELL LC ,2,cpu,CPU arg1 is absent,,0,1,1,1,ARG
test,syslog,3,"resource management, scheduler",kernel: [PID](systemd-journal) over core_pipe_limit,,0,1,1,1,journal
train,syslog,3,file system,mmsysmon: [E] Event raised: The IBM Spectrum Scale service process not running [path] node. Normal operation be done.,,0,1,1,1,event ibm spectrum scale running PATH normal operation done
test,syslog,3,storage,"kernel: ata[kNUM]: HPA support seems broken, skipping HPA handling",google : [log],0,1,1,1,ata NUM hpa support seems broken hpa handling
train,DELL LC ,2,cpu,CPU arg1 has a thermal trip (over-temperature) event.,,0,1,1,1,ARG trip event
train,DELL LC ,2,cpu,CPU arg1 initialization error detected.,,0,1,1,1,ARG
train,syslog,3,service,"systemd: libvirtd.service: Main process exited, code=exited, status=3[path]",,0,1,1,1,libvirtd main PATH
train,syslog,3,os,kernel: arp_error_report+[ADDR][path],https://lkml.iu.edu/hypermail/linux/kernel/1005.3/02089.html,0,1,1,1,arp report ADDR PATH
test,DELL LC ,3,"bus, io module, pci",Internal I/O failure.,,0,1,1,1,internal i o
train,DELL LC ,2,"voltage, current",The power input for CPU arg1 voltage regulator module is lost.,,0,1,1,1,input for ARG regulator lost
train,DELL LC ,2,cpu,CPU arg1 temperature is outside of range.,,0,1,1,1,ARG
train,DELL LC ,3,storage,Bad block medium error is detected at block arg1 on arg2 .,,0,1,1,1,bad medium ARG ARG
test,DELL LC ,2,power,Power supply cable has been removed from arg1 .,,0,1,1,1,been from ARG
train,syslog,3,file system,collectl: E-Error writing to raw.gz file: no space left on device,https://ko.linux-console.net/?p=1093#gsc.tab=0,0,1,1,1,collectl writing raw gz space left
train,HPE IML,3,"bus, io module, pci",PCIe Full Slot Training Failure,,0,1,1,1,full training
train,DELL LC ,2,"voltage, current",An under current fault detected on power supply arg1 .,,0,1,1,1,an under ARG
train,DELL LC ,2,power,Power supply arg1 revision mismatch detected.,,0,1,1,1,ARG revision mismatch
train,DELL LC ,2,"voltage, current",Processor module arg1 voltage is greater than the upper critical threshold.,,0,1,1,1,ARG greater upper
train,DELL LC ,2,cpu,CPU arg1 is stuck in POST.,,0,1,1,1,ARG stuck post
train,DELL LC ,3,board,Unable to turn on the server because of current chassis storage setup or the chassis storage settings.,,0,1,1,1,turn setup settings
train,syslog,3,switch,"kernel: nvidia-nvswitch5: SXid (PCI:[device id]): [kNUM], SOE HALTED",,0,1,1,1,ID NUM halted
train,DELL LC ,3,memory,An uncorrectable Memory Error has occurred because a Non-Volatile Dual In-line Memory Module (NVDIMM) is not functioning.,,0,1,1,1,an uncorrectable non volatile line functioning
train,HPE IML,3,memory,Unsupported NVDIMM-N configuration detected- Processor %1 DIMM %2,,0,1,1,1,n
test,syslog,3,file system,kernel: LNetError: LOG ID:(o2iblnd.c:[kNUM]:kiblnd_startup()) ko2iblnd: No matching interfaces,,0,1,1,1,lneterror o2iblnd c NUM kiblnd startup ko2iblnd matching interfaces
train,DELL LC ,2,board,System board - Data errors.,,0,1,1,1,data errors
train,DELL LC ,3,nic,Unable to connect to the DNS server.,,0,1,1,1,dns
train,DELL LC ,3,"bus, io module, pci",Intel QPI interconnect arg1 has degraded.,,0,1,1,1,intel qpi interconnect ARG degraded
train,syslog,3,file system,kernel: LustreError: LOG ID:(llite_lib.c:[kNUM]:ll_md_setattr()) md_setattr fails: rc = -4,,0,1,1,1,llite lib c NUM ll md setattr md setattr fails rc 4
train,DELL LC ,3,"bus, io module, pci",One or more PCIe switch heatsinks are not properly attached.,,0,1,1,1,one more switch heatsinks properly attached
train,DELL LC ,2,board,The system inlet temperature is greater than the upper critical threshold.,,0,1,1,1,inlet greater upper
train,syslog,3,switch,nv-fabricmanager: NVSwitch port connected to GPU index [IDX] pci bus id [ID][device id] experienced an NVLink fatal error and requires port reset to recover. All the running CUDA jobs [path] GPU will be affected.#012Resetting the specified GPU may clear the issue. Please refer to your system user [USER ID] for GPU reset instructions.,,0,1,1,1,fabricmanager connected index NUM ID ID experienced an nvlink and requires recover all running cuda jobs PATH will affected 012resetting specified may clear issue please refer your user ID for instructions
train,syslog,3,"bus, io module, pci","Server_Administrator: [NUM] - Instrumentation Severity: Warning, Category: System Health, MessageID: SYS105, Message: Unable to process the event: A bus fatal error was detected [path] component at slot 21. Date and time of event: Sun Oct 9 23:49:51 2022.",,0,1,1,1,administrator NUM instrumentation severity warning category health messageid sys105 message event PATH 21 date and time event sun oct 9 23 49 51 2022
test,DELL LC ,2,"voltage, current",System level current is greater than the upper critical threshold.,,0,1,1,1,level greater upper
test,HPE IML,3,"bios, firmware, driver",Server Platform Services Firmware in RecoveryMode. System Halted.,,0,1,1,1,platform services recoverymode halted
train,syslog,3,file system,kernel: LustreError: LOG ID:(osc_request.c:[kNUM]:osc_init_grant()) lsr05-OST[kNUM]osc-[ID]: granted [kNUM] but already consumed [kNUM],,0,1,1,1,osc request c NUM osc init grant lsr05 ost NUM osc ID granted NUM but already consumed NUM
train,syslog,3,memory,kernel: bad_page.col[kNUM]+[ADDR][path],http://barriosstory.blogspot.com/2009/08/bad-page-state.html,0,1,1,1,bad col NUM ADDR PATH
train,DELL LC ,3,memory,A DIMM with an incompatible number of ranks is installed on memory slot: arg1 .,,0,1,1,1,an incompatible number ranks installed ARG
train,syslog,3,file system,mmsysmon: [E] Event raised: The filesystem gpfs.sr06 was forced (forced) to unmount,,0,1,1,1,event filesystem gpfs sr06 forced forced unmount
train,DELL LC ,3,memory,Memory resource allocation failure.,,0,1,1,1,resource allocation
train,DELL LC ,3,nic,"Unable to access server: arg1 , because the NIC is disabled on the identified server.",,0,1,1,1,access ARG disabled identified
test,DELL LC ,2,cpu,CPU arg1 machine check error detected.,,0,1,1,1,ARG machine check
train,DELL LC ,2,power,Unable to process the power-on request because of an internal error.,,0,1,1,1,request an internal
train,DELL LC ,2,power,The Chassis Manager is unable to obtain valid power allocation values because of an internal error.,,0,1,1,1,manager obtain valid allocation values an internal
test,DELL LC ,3,power,Server failed to power up due to noncontinuous power action.,,0,1,1,1,up due noncontinuous action
train,HPE IML,3,memory,DIMM failure - Uncorrectable memory error - %1%2 Dimm %3.,,0,1,1,1,uncorrectable
