text,class,train/test,top_attention_words,masked_text_attention
Processor UPI Initialization Error. A processorUPI initalization error was detected.,cpu,train,['Processor'],UPI Initialization Error. A processorUPI initalization error was detected.
An uncorrectable Memory Error has occurred because a Dual Inline Memory Module (DIMM) is not functioning.,memory,train,"['functioning.', 'Memory']",An uncorrectable Error has occurred because a Dual Inline Module (DIMM) is not
Quick Path Interconnect (QPI) initialization error detected.,"bus, io module, pci",test,['Path'],Quick Interconnect (QPI) initialization error detected.
root: nv_peer_mem: Error: Module nv_peer_mem does not exist,"bios, firmware, driver",test,['root:'],nv_peer_mem: Error: Module nv_peer_mem does not exist
mmsysmon: [E] Event raised: Spectrum Scale port [NUM] is not active,file system,train,"['mmsysmon:', 'Event']",[E] raised: Spectrum Scale port [NUM] is not active
"NVRM: Xid (PCI:0000:4c:00): 31, pid=1545413, Ch 00000008, intr 00000000. MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_0 faulted @ 0x151f_b400a000. Fault is of type FAULT_PDE ACCESS_TYPE_VIRT_WRITE1",gpu,test,"['NVRM:', 'Xid', '00000000.']","(PCI:0000:4c:00): 31, pid=1545413, Ch 00000008, intr MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_0 faulted @ 0x151f_b400a000. Fault is of type FAULT_PDE ACCESS_TYPE_VIRT_WRITE1"
The arg1 temperature is greater than the upper critical threshold.,board,train,['temperature'],The arg1 is greater than the upper critical threshold.
"systemd: gpfs.service: Control process exited, code=exited status=1",service,train,['systemd:'],"gpfs.service: Control process exited, code=exited status=1"
kernel: pcieport [NUM]:a0:[kNUM]: PCI INT A: not connected,"bus, io module, pci",train,['kernel:'],pcieport [NUM]:a0:[kNUM]: PCI INT A: not connected
The power input for power supply arg1 is lost.,power,train,['lost.'],The power input for power supply arg1 is
Unsupported Unregistered Dual In-line Memory Module (UDIMM) memory is installed on memory slot: arg1 .,memory,train,['memory'],Unsupported Unregistered Dual In-line Module (UDIMM) is installed on slot: arg1 .
mmfs: [E] VERBS RDMA closed connection [ip] ([stnfs NODE ID]) [path] port [NUM] fabnum [NUM] index [IDX]0 [cookie ID] RDMA send error IBV_WC_WR_FLUSH_ERR,file system,train,"['mmfs:', 'send', '[E]']",VERBS RDMA closed connection [ip] ([stnfs NODE ID]) [path] port [NUM] fabnum [NUM] index [IDX]0 [cookie ID] RDMA error IBV_WC_WR_FLUSH_ERR
kernel: LustreError: [kNUM]: Nothing registered for client mount! Is the 'lustre' module lo[kNUM]?,file system,train,"['LustreError:', 'mount!']",kernel: [kNUM]: Nothing registered for client Is the 'lustre' module lo[kNUM]?
The FRU on storage sled arg1 is not functioning.,storage,train,['storage'],The FRU on sled arg1 is not functioning.
"systemd: local_scratch.mount: Mount process exited, code=exited status=32",service,test,['systemd:'],"local_scratch.mount: Mount process exited, code=exited status=32"
mmfs: [E] Close connection [ip] [sth NODE ID] <c0n[interface ID]>:[0] (Broken pipe). Attempting reconnect.,file system,train,"['mmfs:', '[E]']",Close connection [ip] [sth NODE ID] <c0n[interface ID]>:[0] (Broken pipe). Attempting reconnect.
"kernel: Buffer I/O error on dev sdb1, logical block 128, async page read",storage,train,"['Buffer', 'dev']","kernel: I/O error on sdb1, logical block 128, async page read"
"mmfs: [X] Recovery Log I/O failed, unmounting file system gpfs.sr06",file system,test,['mmfs:'],"[X] Recovery Log I/O failed, unmounting file system gpfs.sr06"
The Management Engine firmware has recovered from one or more correctable errors.,"bmc, management module",train,"['Management', 'Engine']",The firmware has recovered from one or more correctable errors.
"kernel: nvidia-nvswitch0: SXid (PCI:[device id]): 19084, Non-fatal, Link 09 AN1 Heartbeat Timeout Error (First)",switch,train,"['kernel:', 'nvidia-nvswitch0:']","SXid (PCI:[device id]): 19084, Non-fatal, Link 09 AN1 Heartbeat Timeout Error (First)"
systemd: LSF.mount: Mounting timed out. Terminating.,service,train,['systemd:'],LSF.mount: Mounting timed out. Terminating.
iDRAC communication failure.,"bmc, management module",train,['iDRAC'],communication failure.
kernel: watchdog: BUG: soft lockup - CPU#[CPU NUM] stuck for [SEC]s! [zabbix_agent2:[NUM],os,train,"['kernel:', 'watchdog:']",BUG: soft lockup - CPU#[CPU NUM] stuck for [SEC]s! [zabbix_agent2:[NUM]
arg1 is unable to recover cached data from the Battery Backup Unit (BBU).,battery,train,['Battery'],arg1 is unable to recover cached data from the Backup Unit (BBU).
"kernel: NVRM: Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp Exception (GPC 0, TPC 3, SM [NUM]:) Illegal Instruction",gpu,train,"['kernel:', 'NVRM:']","Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp Exception (GPC 0, TPC 3, SM [NUM]:) Illegal Instruction"
A failure detected on power unit arg1 .,power,train,['A'],failure detected on power unit arg1 .
"Memory device status is critical. Memory device location: arg1 , Possible memory module event cause: arg2 .",memory,train,"['Memory', 'memory']","device status is critical. device location: arg1 , Possible module event cause: arg2 ."
systemd: nvidia-fabricmanager.service: Processes still around after final SIGKILL. Entering failed mode.,service,train,"['systemd:', 'mode.']",nvidia-fabricmanager.service: Processes still around after final SIGKILL. Entering failed
The fans are not redundant. Insufficient resources to maintain normal operations.,fan,train,"['fans', 'operations.']",The are not redundant. Insufficient resources to maintain normal
"HPE Persistent Memory Configuration Error:(Major Code:%1, Minor Code:%2)","setting, config",train,['Error:(Major'],"HPE Persistent Memory Configuration Code:%1, Minor Code:%2)"
kernel: nvidia [device id]: can't recover (no error_detected callback),gpu,train,['kernel:'],nvidia [device id]: can't recover (no error_detected callback)
Fault detected on drive arg1 .,storage,train,['drive'],Fault detected on arg1 .
kernel: NVRM: The NVIDIA probe routine was not called for 4 device(s).,"bios, firmware, driver",train,"['kernel:', 'NVIDIA']",NVRM: The probe routine was not called for 4 device(s).
mmsysmon: [E] Event raised: Physical link of the NIC ens[eth ID] is down,file system,train,"['Event', 'mmsysmon:']",[E] raised: Physical link of the NIC ens[eth ID] is down
"kernel: NVRM: Xid (PCI:[device id]): 94, pid=[PIDNUM], Ch [kNUM]",gpu,train,['kernel:'],"NVRM: Xid (PCI:[device id]): 94, pid=[PIDNUM], Ch [kNUM]"
"NVRM: Xid (PCI:0000:41:00): 31, pid=959064, Ch 00000012, intr 00000000. MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_13 faulted @ 0x14f4_84000000. Fault is of type FAULT_PDE ACCESS_TYPE_VIRT_READ",gpu,train,"['NVRM:', 'Xid', 'Ch']","(PCI:0000:41:00): 31, pid=959064, 00000012, intr 00000000. MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_13 faulted @ 0x14f4_84000000. Fault is of type FAULT_PDE ACCESS_TYPE_VIRT_READ"
"kernel: NVRM: Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp Exception (GPC 0, TPC 0, SM [NUM]:) MMU Fault",gpu,train,"['kernel:', 'NVRM:']","Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp Exception (GPC 0, TPC 0, SM [NUM]:) MMU Fault"
kernel: LustreError: LOG ID:(lmv_o[kNUM]:[kNUM]:lmv_quotactl()) getquota [path] 10 failed. -4,file system,train,['LustreError:'],kernel: LOG ID:(lmv_o[kNUM]:[kNUM]:lmv_quotactl()) getquota [path] 10 failed. -4
BIOS corruption is detected in the server.,"bios, firmware, driver",train,['BIOS'],corruption is detected in the server.
MemBIST MEMTEST: Uncorrectable memoryerror,memory,test,['MEMTEST:'],MemBIST Uncorrectable memoryerror
One or more PCIe device errors occurred in the previous boot.,"bus, io module, pci",test,"['PCIe', 'errors']",One or more device occurred in the previous boot.
arg1 has crossed the minimum failure threshold.,board,train,['threshold.'],arg1 has crossed the minimum failure
"kernel: ipmi_si IPI[kNUM]:00: The BMC does not support setting the recv irq bit, compensating, but the BMC needs to be fixed.","bmc, management module",test,"['ipmi_si', 'kernel:']","IPI[kNUM]:00: The BMC does not support setting the recv irq bit, compensating, but the BMC needs to be fixed."
"Server_Administrator: [NUM] - Storage Service Severity: Warning, Category: Storage, MessageID: CTL55, Message: Controller 0 (PERC H745 Adapter) event log: Enclosure PD 86(c None[path]) phy bad for slot 1",storage,train,"['Storage', 'slot', 'Service']","Server_Administrator: [NUM] - Severity: Warning, Category: Storage, MessageID: CTL55, Message: Controller 0 (PERC H745 Adapter) event log: Enclosure PD 86(c None[path]) phy bad for 1"
Persistent memory error,memory,train,['memory'],Persistent error
Disk drive bay temperature is less than the lower critical threshold.,storage,train,"['drive', 'threshold.']",Disk bay temperature is less than the lower critical
iDRAC is not responding after a recovery system reset was performed.,"bmc, management module",train,['iDRAC'],is not responding after a recovery system reset was performed.
kernel: ? tg3_io_error_detected+[ADDR][path] [tg3],nic,train,['?'],kernel: tg3_io_error_detected+[ADDR][path] [tg3]
"mmfs: Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]: reason 46 Failure reason mmchdisk for any disk failures and re-mount.",file system,train,"['mmfs:', 'disk']","Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]: reason 46 Failure reason mmchdisk for any failures and re-mount."
auditd: Audit daemon suspending logging due to no space left on logging partition.,file system,test,"['logging', 'auditd:']",Audit daemon suspending due to no space left on partition.
The system board arg1 current is outside of range.,"voltage, current",test,['current'],The system board arg1 is outside of range.
systemd: nvidia-fabricmanager.service: Killing [PID] (nv-fabricmanage) with signal SIGKILL.,service,test,['systemd:'],nvidia-fabricmanager.service: Killing [PID] (nv-fabricmanage) with signal SIGKILL.
Unable to connect to DHCP server.,nic,train,['server.'],Unable to connect to DHCP
The Non-Volatile Dual In-line Memory Module (NVDIMM) device in the slot arg1 has lost persistency and is placed in write-protect mode.,memory,train,"['Memory', 'mode.']",The Non-Volatile Dual In-line Module (NVDIMM) device in the slot arg1 has lost persistency and is placed in write-protect
The Intel Management Engine has indicated that an SMBus link failure has occurred.,"bmc, management module",train,"['Management', 'Engine']",The Intel has indicated that an SMBus link failure has occurred.
"mmfs: [E] Leaving cluster sr06.[sth NODE ID], due to expired lease",file system,test,"['cluster', 'mmfs:']","[E] Leaving sr06.[sth NODE ID], due to expired lease"
Power supply arg1 is absent.,power,train,['Power'],supply arg1 is absent.
mmsysmon: [E] Event raised: Reconnect to [ip] [vngpuc NODE ID] <c0n[interface ID]> failed,file system,train,"['mmsysmon:', 'Event']",[E] raised: Reconnect to [ip] [vngpuc NODE ID] <c0n[interface ID]> failed
"NVRM: Xid (PCI:0000:84:00): 62, pid=8676, 0a99(17e8) 040113d9 575e2859",gpu,train,['NVRM:'],"Xid (PCI:0000:84:00): 62, pid=8676, 0a99(17e8) 040113d9 575e2859"
"kernel: NVRM: Xid (PCI:[device id]): 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_12 faulted @ 0x[kNUM]_[kNUM] Fault is of type FAULT_PTE  access_TYPE_VIRT_READ",gpu,train,"['kernel:', 'NVRM:', 'id]):']","Xid (PCI:[device 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_12 faulted @ 0x[kNUM]_[kNUM] Fault is of type FAULT_PTE access_TYPE_VIRT_READ"
Multi-bit ECC error on arg1 DIMM.,memory,train,['DIMM.'],Multi-bit ECC error on arg1
kdumpctl: dracut: installkernel failed in module kernel-modules-extra,os,train,['kdumpctl:'],dracut: installkernel failed in module kernel-modules-extra
mmfs: [X] A severe error was encountered during cluster probe.,file system,train,['mmfs:'],[X] A severe error was encountered during cluster probe.
NVDIMM backup power has been lost and afuture backup is not possible,power,train,"['power', 'NVDIMM']",backup has been lost and afuture backup is not possible
"kernel: LNetError: LOG ID:(o2iblnd_[kNUM]:[kNUM]:kiblnd_check_txs_locked()) Timed out tx: tx_queue, [SEC] seconds",file system,train,['LNetError:'],"kernel: LOG ID:(o2iblnd_[kNUM]:[kNUM]:kiblnd_check_txs_locked()) Timed out tx: tx_queue, [SEC] seconds"
A PCI parity error was detected on a component at bus arg1 device arg2 function arg3 .,"bus, io module, pci",train,"['bus', 'component']",A PCI parity error was detected on a at arg1 device arg2 function arg3 .
A memory error has occurred,memory,test,['memory'],A error has occurred
Power fault event has occurred in the IO Module in slot arg1 .,"bus, io module, pci",train,"['slot', 'Power']",fault event has occurred in the IO Module in arg1 .
kernel: nvidia_peermem: Unknown symbol nvidia_p2p_dma_map_pages (err -22),"bios, firmware, driver",train,['kernel:'],nvidia_peermem: Unknown symbol nvidia_p2p_dma_map_pages (err -22)
Power fault detected: Embedded storagecontroller,power,train,['Power'],fault detected: Embedded storagecontroller
"mmfs: [X] File System gpfs.sr06 unmounted by the system with return code 16, reason 1358466932, at line 1132 in [path]",file system,test,"['mmfs:', '[X]']","File System gpfs.sr06 unmounted by the system with return code 16, reason 1358466932, at line 1132 in [path]"
HPE Persistent Memory Module error,memory,train,['Memory'],HPE Persistent Module error
kernel: LustreError: LOG ID:(layout.c:[kNUM]:__req_capsule_get()) @@@ Wrong buffer for field `obd_quotactl' ([NUM] of 1) in format `OST_QUOTACTL': 0 vs. 112 (server)#012 req@[ID] x[ID][path]([NUM]) o19->lsr07-OST[kNUM]osc-[ID]@[ip]@o2ib:28[path] lens 336[path] e 0 to 0 dl [kNUM] ref 1 fl Complete:RN[path] rc [kNUM][path],file system,train,"['LustreError:', 'kernel:', 'LOG', '@@@']",ID:(layout.c:[kNUM]:__req_capsule_get()) Wrong buffer for field `obd_quotactl' ([NUM] of 1) in format `OST_QUOTACTL': 0 vs. 112 (server)#012 req@[ID] x[ID][path]([NUM]) o19->lsr07-OST[kNUM]osc-[ID]@[ip]@o2ib:28[path] lens 336[path] e 0 to 0 dl [kNUM] ref 1 fl Complete:RN[path] rc [kNUM][path]
Optical Drive arg1 - Incorrect status = arg2 arg3 .,storage,train,['Drive'],Optical arg1 - Incorrect status = arg2 arg3 .
The chassis inlet temperature is greater than the upper critical threshold temperature.,board,test,['temperature'],The chassis inlet is greater than the upper critical threshold temperature.
arg1 RPM is outside of normal operating range.,fan,train,['RPM'],arg1 is outside of normal operating range.
sa1: Cannot write data to system activity file: no space left on device,file system,train,['activity'],sa1: Cannot write data to system file: no space left on device
ECC Memory error rate failover condition detected.,memory,train,['Memory'],ECC error rate failover condition detected.
"dracut: dracut module 'stratis' will not be installed, because command 'stratisd-init' could not be found!",os,train,"['dracut:', 'dracut']","module 'stratis' will not be installed, because command 'stratisd-init' could not be found!"
kernel: LustreError: [kNUM]: lscr21-MDT[kNUM]mdc-[ID]: operation to node [ip]@o2ib[eth ID] failed: rc = -16,file system,test,"['LustreError:', 'kernel:']",[kNUM]: lscr21-MDT[kNUM]mdc-[ID]: operation to node [ip]@o2ib[eth ID] failed: rc = -16
"Server_Administrator: [NUM] - Storage Service Severity: Critical, Category: Storage, MessageID: STOR0212, Message: The Enclosure 0:1 [path] 0 at Connector 0 has failed.",storage,train,"['Storage', 'Service']","Server_Administrator: [NUM] - Severity: Critical, Category: Storage, MessageID: STOR0212, Message: The Enclosure 0:1 [path] 0 at Connector 0 has failed."
The use of 110V is unacknowledged and the chassis cannot grant power on permission to the server.,power,train,"['server.', '110V']",The use of is unacknowledged and the chassis cannot grant power on permission to the
"kernel: nvidia-nvswitch2: SXid (PCI:[device id]): 26002, Failed to boot SOE([NUM])",switch,train,['kernel:'],"nvidia-nvswitch2: SXid (PCI:[device id]): 26002, Failed to boot SOE([NUM])"
"%1 Storage system fan failure (%2 Slot %3, Fan%4, Location %5)",fan,train,"['fan', 'Storage']","%1 system failure (%2 Slot %3, Fan%4, Location %5)"
Processor Built-In Self-Test (BIST) failure,cpu,train,['Processor'],Built-In Self-Test (BIST) failure
"Server_Administrator: [NUM] - Instrumentation Severity: Critical, Category: System Health, MessageID: PSU0912, Message: A failure detected [path] unit PS2 Status.",power,train,['PS2'],"Server_Administrator: [NUM] - Instrumentation Severity: Critical, Category: System Health, MessageID: PSU0912, Message: A failure detected [path] unit Status."
HPE Persistent Memory Error,memory,train,['Memory'],HPE Persistent Error
"NVRM: Xid (PCI:0000:08:00): 69, pid=222118, Class Error: ChId 004b, Class 0000c197, Offset 00001944, Data 00000005, ErrorCode 0000000c",gpu,train,"['NVRM:', 'Xid']","(PCI:0000:08:00): 69, pid=222118, Class Error: ChId 004b, Class 0000c197, Offset 00001944, Data 00000005, ErrorCode 0000000c"
The peripheral sled in the slot arg1 has an internal cable disconnected or is missing required expanders.,storage,test,"['slot', 'peripheral']",The sled in the arg1 has an internal cable disconnected or is missing required expanders.
"dracut: dracut module 'plymouth' will not be installed, because it's in the list to be omitted!",os,train,"['dracut:', 'module']","dracut 'plymouth' will not be installed, because it's in the list to be omitted!"
Unable to turn on the server because the chassis cover is open.,board,train,"['open.', 'chassis']",Unable to turn on the server because the cover is
mmsysmon: [E] Event raised: The file system gpfs.ml3 was forced (forced) to unmount.,file system,train,"['Event', 'mmsysmon:']",[E] raised: The file system gpfs.ml3 was forced (forced) to unmount.
pmlogger_daily: mktemp: failed to create directory via template ??path]?? no space left on device,file system,test,"['mktemp:', 'directory']",pmlogger_daily: failed to create via template ??path]?? no space left on device
The power cord sensor is non-functional.,power,train,['power'],The cord sensor is non-functional.
CPU arg1 protocol error detected.,cpu,train,['CPU'],arg1 protocol error detected.
The disk drive bay arg1 voltage is less than the lower critical threshold.,"voltage, current",train,"['voltage', 'threshold.']",The disk drive bay arg1 is less than the lower critical
Power supply arg1 failed.,power,train,['Power'],supply arg1 failed.
The system board arg1 current is less than the lower critical threshold.,"voltage, current",train,"['current', 'threshold.']",The system board arg1 is less than the lower critical
An interlock power down error detected on power unit arg1 .,power,train,['An'],interlock power down error detected on power unit arg1 .
abrtd: Marking '[path][TIMESTAMP]' not reportable (no 'count' item),file system,train,['abrtd:'],Marking '[path][TIMESTAMP]' not reportable (no 'count' item)
Single-bit ECC error limit exceeded on the arg1 DIMM.,memory,test,['DIMM.'],Single-bit ECC error limit exceeded on the arg1
"kernel: LustreError: LOG ID:(osc_request.c:[kNUM]:brw_interpret()) lsr05-OST[kNUM]osc-[ID]: too many resent retries for object: 107LOG I[kNUM], rc = [kNUM]",file system,train,"['LustreError:', 'LOG']","kernel: ID:(osc_request.c:[kNUM]:brw_interpret()) lsr05-OST[kNUM]osc-[ID]: too many resent retries for object: 107LOG I[kNUM], rc = [kNUM]"
"kernel: lockd: failed to reclaim lock for [PID] (errno 0, status 1)",service,train,"['kernel:', 'lockd:']","failed to reclaim lock for [PID] (errno 0, status 1)"
kernel: nvidia: module verification signature and/or required key missing - tainting kernel,"bios, firmware, driver",train,"['kernel:', 'nvidia:']",module verification signature and/or required key missing - tainting kernel
The chassis inlet temperature is less than the lower critical threshold temperature.,board,train,['temperature'],The chassis inlet is less than the lower critical threshold temperature.
NVDIMM is not accessible,memory,train,['not'],NVDIMM is accessible
"mmfs: [X] Health check thread is unresponsive, suspending disk lease renewals",file system,train,"['mmfs:', 'Health']","[X] check thread is unresponsive, suspending disk lease renewals"
HPE Persistent Memory Health Error: Processor%1 DIMM %2 (SN: %3),memory,train,['Memory'],HPE Persistent Health Error: Processor%1 DIMM %2 (SN: %3)
CPU arg1 is absent,cpu,test,['CPU'],arg1 is absent
kernel: [PID](systemd-journal) over core_pipe_limit,"resource management, scheduler",test,['core_pipe_limit'],kernel: [PID](systemd-journal) over
mmsysmon: [E] Event raised: The IBM Spectrum Scale service process not running [path] node. Normal operation be done.,file system,train,"['IBM', 'Event']",mmsysmon: [E] raised: The Spectrum Scale service process not running [path] node. Normal operation be done.
"kernel: ata[kNUM]: HPA support seems broken, skipping HPA handling",storage,test,['kernel:'],"ata[kNUM]: HPA support seems broken, skipping HPA handling"
CPU arg1 has a thermal trip (over-temperature) event.,cpu,train,['CPU'],arg1 has a thermal trip (over-temperature) event.
CPU arg1 initialization error detected.,cpu,train,['CPU'],arg1 initialization error detected.
"systemd: libvirtd.service: Main process exited, code=exited, status=3[path]",service,train,['systemd:'],"libvirtd.service: Main process exited, code=exited, status=3[path]"
kernel: arp_error_report+[ADDR][path],os,train,['kernel:'],arp_error_report+[ADDR][path]
Internal I/O failure.,"bus, io module, pci",test,['Internal'],I/O failure.
The power input for CPU arg1 voltage regulator module is lost.,"voltage, current",train,"['voltage', 'lost.']",The power input for CPU arg1 regulator module is
CPU arg1 temperature is outside of range.,cpu,train,['CPU'],arg1 temperature is outside of range.
Bad block medium error is detected at block arg1 on arg2 .,storage,train,['block'],Bad medium error is detected at arg1 on arg2 .
Power supply cable has been removed from arg1 .,power,test,['cable'],Power supply has been removed from arg1 .
collectl: E-Error writing to raw.gz file: no space left on device,file system,train,"['collectl:', 'E-Error']",writing to raw.gz file: no space left on device
PCIe Full Slot Training Failure,"bus, io module, pci",train,['PCIe'],Full Slot Training Failure
An under current fault detected on power supply arg1 .,"voltage, current",train,['current'],An under fault detected on power supply arg1 .
Power supply arg1 revision mismatch detected.,power,train,['Power'],supply arg1 revision mismatch detected.
Processor module arg1 voltage is greater than the upper critical threshold.,"voltage, current",train,"['voltage', 'threshold.']",Processor module arg1 is greater than the upper critical
CPU arg1 is stuck in POST.,cpu,train,['CPU'],arg1 is stuck in POST.
Unable to turn on the server because of current chassis storage setup or the chassis storage settings.,board,train,"['server', 'chassis']",Unable to turn on the because of current storage setup or the storage settings.
"kernel: nvidia-nvswitch5: SXid (PCI:[device id]): [kNUM], SOE HALTED",switch,train,['kernel:'],"nvidia-nvswitch5: SXid (PCI:[device id]): [kNUM], SOE HALTED"
An uncorrectable Memory Error has occurred because a Non-Volatile Dual In-line Memory Module (NVDIMM) is not functioning.,memory,train,"['functioning.', 'Memory']",An uncorrectable Error has occurred because a Non-Volatile Dual In-line Module (NVDIMM) is not
Unsupported NVDIMM-N configuration detected- Processor %1 DIMM %2,memory,train,['configuration'],Unsupported NVDIMM-N detected- Processor %1 DIMM %2
kernel: LNetError: LOG ID:(o2iblnd.c:[kNUM]:kiblnd_startup()) ko2iblnd: No matching interfaces,file system,test,['LOG'],kernel: LNetError: ID:(o2iblnd.c:[kNUM]:kiblnd_startup()) ko2iblnd: No matching interfaces
System board - Data errors.,board,train,['System'],board - Data errors.
Unable to connect to the DNS server.,nic,train,['Unable'],to connect to the DNS server.
Intel QPI interconnect arg1 has degraded.,"bus, io module, pci",train,['Intel'],QPI interconnect arg1 has degraded.
kernel: LustreError: LOG ID:(llite_lib.c:[kNUM]:ll_md_setattr()) md_setattr fails: rc = -4,file system,train,['LOG'],kernel: LustreError: ID:(llite_lib.c:[kNUM]:ll_md_setattr()) md_setattr fails: rc = -4
One or more PCIe switch heatsinks are not properly attached.,"bus, io module, pci",train,['PCIe'],One or more switch heatsinks are not properly attached.
The system inlet temperature is greater than the upper critical threshold.,board,train,['temperature'],The system inlet is greater than the upper critical threshold.
