text,class,train/test,top_attention_words,masked_text_attention
A Flash corruption occurred in both the partitions of the component arg1 .,unknown,train,"['Flash', 'component']",A corruption occurred in both the partitions of the arg1 .
Intel Trusted Execution Error: Intel TXTSINITACM has reported an error (code:0x%1),unknown,train,['Error:'],Intel Trusted Execution Intel TXTSINITACM has reported an error (code:0x%1)
The sled arg1 is removed from slot arg2 .,unknown,train,['slot'],The sled arg1 is removed from arg2 .
A critical error occurred,unknown,train,['A'],critical error occurred
The watchdog timer restarted the system at arg1 .,unknown,train,['system'],The watchdog timer restarted the at arg1 .
Server arg1 health changed to a non-recoverable state.,unknown,train,['Server'],arg1 health changed to a non-recoverable state.
The watchdog timer reset the system.,unknown,train,['The'],watchdog timer reset system.
Unsupported Hardware Detected,unknown,train,['Hardware'],Unsupported Detected
The watchdog timer powered off the system.,unknown,train,['the'],watchdog timer powered off system.
One or more Machine Check errors occurred in the previous boot.,unknown,train,"['Machine', 'Check']",One or more errors occurred in the previous boot.
An unexpected shutdown was detected prior tothis boot,unknown,train,['boot'],An unexpected shutdown was detected prior tothis
kernel: BERT: Error records from previous boot:,unknown,train,['boot:'],kernel: BERT: Error records from previous
Unable to read because the Field Replaceable Unit (FRU) is not functioning on the sled arg1 .,unknown,train,"['Field', 'read']",Unable to because the Replaceable Unit (FRU) is not functioning on the sled arg1 .
Uncorrectable Error detected on the previousboot,unknown,train,['Error'],Uncorrectable detected on the previousboot
arg1 is not functional and is powered off.,unknown,train,['powered'],arg1 is not functional and is off.
The arg1 is in read-only mode.,unknown,train,['mode.'],The arg1 is in read-only
X64 Exception Type 0x%1 (%2) occurred duringthe previous boot. Image name: %3,unknown,train,"['X64', 'Exception']",Type 0x%1 (%2) occurred duringthe previous boot. Image name: %3
PCIe adapter arg1 in slot arg2 was removed while powered on.,unknown,train,"['adapter', 'powered']",PCIe arg1 in slot arg2 was removed while on.
The watchdog timer turned off the system at arg1 .,unknown,test,['timer'],The watchdog turned off the system at arg1 .
arg1 has been removed.,unknown,test,['has'],arg1 been removed.
The arg1 reliability has degraded.,unknown,train,['The'],arg1 reliability has degraded.
The operation was not successful.,unknown,train,['The'],operation was not successful.
arg1 was removed.,unknown,train,['was'],arg1 removed.
Server arg1 health changed to a critical state from a non-recoverable state.,unknown,train,"['Server', 'health']",arg1 changed to a critical state from a non-recoverable state.
Hardware installation error,unknown,train,['installation'],Hardware error
POST fatal error detected.,unknown,train,['error'],POST fatal detected.
One or more chipset errors have occurred.,unknown,train,['chipset'],One or more errors have occurred.
The value of arg1 is greater than the upper critical threshold.,unknown,train,['arg1'],The value of is greater than the upper critical threshold.
arg1 initialization has failed.,unknown,train,['initialization'],arg1 has failed.
The watchdog timer interrupt was initiated.,unknown,train,['timer'],The watchdog interrupt was initiated.
The arg1 is absent.,unknown,test,['absent.'],The arg1 is
A failure is detected on arg1 .,unknown,test,['failure'],A is detected on arg1 .
Security subsystem errors detected for arg1 .,unknown,train,['Security'],subsystem errors detected for arg1 .
The arg1 is removed.,unknown,train,['removed.'],The arg1 is
The system performance degraded.,unknown,train,['system'],The performance degraded.
The arg1 arg2 operation was not successful.,unknown,train,['The'],arg1 arg2 operation was not successful.
Server arg1 health changed to a non-recoverable state from a less severe state.,unknown,train,"['Server', 'health']",arg1 changed to a non-recoverable state from a less severe state.
The arg1 device may not function as expected because the device health status turned to Critical.,unknown,train,"['device', 'The']",arg1 may not function as expected because health status turned to Critical.
Communication with arg1 was lost.,unknown,train,['lost.'],Communication with arg1 was
