text,class,label,train/test,top_attention_words,masked_text_attention
"Server_Administrator: [NUM] - Storage Service Severity: Warning, Category: Storage, MessageID: CTL55, Message: Controller 0 (PERC H745 Adapter) event log: Enclosure PD 86(c None[path]) phy bad for slot 1",storage,0,train,"['event', 'bad', 'Service']","Server_Administrator: [NUM] - Storage Severity: Warning, Category: Storage, MessageID: CTL55, Message: Controller 0 (PERC H745 Adapter) log: Enclosure PD 86(c None[path]) phy for slot 1"
Persistent memory error,memory,0,train,['error'],Persistent memory
Disk drive bay temperature is less than the lower critical threshold.,storage,0,train,"['is', 'drive']",Disk bay temperature less than the lower critical threshold.
iDRAC is not responding after a recovery system reset was performed.,"bmc, management module",0,train,"['is', 'not']",iDRAC responding after a recovery system reset was performed.
kernel: ? tg3_io_error_detected+[ADDR][path] [tg3],nic,0,train,['kernel:'],? tg3_io_error_detected+[ADDR][path] [tg3]
"mmfs: Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]: reason 46 Failure reason mmchdisk for any disk failures and re-mount.",file system,0,train,"['and', '46']","mmfs: Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]: reason Failure reason mmchdisk for any disk failures re-mount."
auditd: Audit daemon suspending logging due to no space left on logging partition.,file system,0,test,"['suspending', 'no']",auditd: Audit daemon logging due to space left on logging partition.
The system board arg1 current is outside of range.,"voltage, current",0,test,['is'],The system board arg1 current outside of range.
systemd: nvidia-fabricmanager.service: Killing [PID] (nv-fabricmanage) with signal SIGKILL.,service,0,test,['with'],systemd: nvidia-fabricmanager.service: Killing [PID] (nv-fabricmanage) signal SIGKILL.
Unable to connect to DHCP server.,nic,0,train,['Unable'],to connect to DHCP server.
The Non-Volatile Dual In-line Memory Module (NVDIMM) device in the slot arg1 has lost persistency and is placed in write-protect mode.,memory,0,train,"['The', 'has']",Non-Volatile Dual In-line Memory Module (NVDIMM) device in slot arg1 lost persistency and is placed in write-protect mode.
The Intel Management Engine has indicated that an SMBus link failure has occurred.,"bmc, management module",0,train,"['link', 'The']",Intel Management Engine has indicated that an SMBus failure has occurred.
"mmfs: [E] Leaving cluster sr06.[sth NODE ID], due to expired lease",file system,0,test,"['Leaving', 'lease']","mmfs: [E] cluster sr06.[sth NODE ID], due to expired"
Power supply arg1 is absent.,power,0,train,['is'],Power supply arg1 absent.
mmsysmon: [E] Event raised: Reconnect to [ip] [vngpuc NODE ID] <c0n[interface ID]> failed,file system,0,train,"['failed', 'to']",mmsysmon: [E] Event raised: Reconnect [ip] [vngpuc NODE ID] <c0n[interface ID]>
"NVRM: Xid (PCI:0000:84:00): 62, pid=8676, 0a99(17e8) 040113d9 575e2859",gpu,0,train,"['62,']","NVRM: Xid (PCI:0000:84:00): pid=8676, 0a99(17e8) 040113d9 575e2859"
"kernel: NVRM: Xid (PCI:[device id]): 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_12 faulted @ 0x[kNUM]_[kNUM] Fault is of type FAULT_PTE  access_TYPE_VIRT_READ",gpu,0,train,"['kernel:', 'Fault:', 'is']","NVRM: Xid (PCI:[device id]): 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU ENGINE GRAPHICS GPCCLIENT_T1_12 faulted @ 0x[kNUM]_[kNUM] Fault of type FAULT_PTE access_TYPE_VIRT_READ"
Multi-bit ECC error on arg1 DIMM.,memory,0,train,['error'],Multi-bit ECC on arg1 DIMM.
kdumpctl: dracut: installkernel failed in module kernel-modules-extra,os,0,train,['failed'],kdumpctl: dracut: installkernel in module kernel-modules-extra
mmfs: [X] A severe error was encountered during cluster probe.,file system,0,train,['was'],mmfs: [X] A severe error encountered during cluster probe.
NVDIMM backup power has been lost and afuture backup is not possible,power,0,train,"['and', 'been']",NVDIMM backup power has lost afuture backup is not possible
"kernel: LNetError: LOG ID:(o2iblnd_[kNUM]:[kNUM]:kiblnd_check_txs_locked()) Timed out tx: tx_queue, [SEC] seconds",file system,0,train,['kernel:'],"LNetError: LOG ID:(o2iblnd_[kNUM]:[kNUM]:kiblnd_check_txs_locked()) Timed out tx: tx_queue, [SEC] seconds"
A PCI parity error was detected on a component at bus arg1 device arg2 function arg3 .,"bus, io module, pci",0,train,"['was', 'at']",A PCI parity error detected on a component bus arg1 device arg2 function arg3 .
A memory error has occurred,memory,0,test,['A'],memory error has occurred
Power fault event has occurred in the IO Module in slot arg1 .,"bus, io module, pci",0,train,"['has', 'fault']",Power event occurred in the IO Module in slot arg1 .
kernel: nvidia_peermem: Unknown symbol nvidia_p2p_dma_map_pages (err -22),"bios, firmware, driver",0,train,['kernel:'],nvidia_peermem: Unknown symbol nvidia_p2p_dma_map_pages (err -22)
Power fault detected: Embedded storagecontroller,power,0,train,['fault'],Power detected: Embedded storagecontroller
"mmfs: [X] File System gpfs.sr06 unmounted by the system with return code 16, reason 1358466932, at line 1132 in [path]",file system,0,test,"['with', 'mmfs:']","[X] File System gpfs.sr06 unmounted by the system return code 16, reason 1358466932, at line 1132 in [path]"
HPE Persistent Memory Module error,memory,0,train,['error'],HPE Persistent Memory Module
kernel: LustreError: LOG ID:(layout.c:[kNUM]:__req_capsule_get()) @@@ Wrong buffer for field `obd_quotactl' ([NUM] of 1) in format `OST_QUOTACTL': 0 vs. 112 (server)#012 req@[ID] x[ID][path]([NUM]) o19->lsr07-OST[kNUM]osc-[ID]@[ip]@o2ib:28[path] lens 336[path] e 0 to 0 dl [kNUM] ref 1 fl Complete:RN[path] rc [kNUM][path],file system,0,train,"['fl', 'kernel:', 'Wrong', 'to']",LustreError: LOG ID:(layout.c:[kNUM]:__req_capsule_get()) @@@ buffer for field `obd_quotactl' ([NUM] of 1) in format `OST_QUOTACTL': 0 vs. 112 (server)#012 req@[ID] x[ID][path]([NUM]) o19->lsr07-OST[kNUM]osc-[ID]@[ip]@o2ib:28[path] lens 336[path] e 0 0 dl [kNUM] ref 1 Complete:RN[path] rc [kNUM][path]
Optical Drive arg1 - Incorrect status = arg2 arg3 .,storage,0,train,['Drive'],Optical arg1 - Incorrect status = arg2 arg3 .
The chassis inlet temperature is greater than the upper critical threshold temperature.,board,0,test,"['is', 'The']",chassis inlet temperature greater than upper critical threshold temperature.
arg1 RPM is outside of normal operating range.,fan,0,train,['is'],arg1 RPM outside of normal operating range.
sa1: Cannot write data to system activity file: no space left on device,file system,0,train,"['Cannot', 'write']",sa1: data to system activity file: no space left on device
ECC Memory error rate failover condition detected.,memory,0,train,['condition'],ECC Memory error rate failover detected.
"dracut: dracut module 'stratis' will not be installed, because command 'stratisd-init' could not be found!",os,0,train,"['could', 'module']","dracut: dracut 'stratis' will not be installed, because command 'stratisd-init' not be found!"
kernel: LustreError: [kNUM]: lscr21-MDT[kNUM]mdc-[ID]: operation to node [ip]@o2ib[eth ID] failed: rc = -16,file system,0,test,"['kernel:', 'failed:']",LustreError: [kNUM]: lscr21-MDT[kNUM]mdc-[ID]: operation to node [ip]@o2ib[eth ID] rc = -16
"Server_Administrator: [NUM] - Storage Service Severity: Critical, Category: Storage, MessageID: STOR0212, Message: The Enclosure 0:1 [path] 0 at Connector 0 has failed.",storage,0,train,"['has', 'at', 'Service']","Server_Administrator: [NUM] - Storage Severity: Critical, Category: Storage, MessageID: STOR0212, Message: The Enclosure 0:1 [path] 0 Connector 0 failed."
The use of 110V is unacknowledged and the chassis cannot grant power on permission to the server.,power,0,train,"['is', 'The']",use of 110V unacknowledged and chassis cannot grant power on permission to server.
"kernel: nvidia-nvswitch2: SXid (PCI:[device id]): 26002, Failed to boot SOE([NUM])",switch,0,train,['Failed'],"kernel: nvidia-nvswitch2: SXid (PCI:[device id]): 26002, to boot SOE([NUM])"
"%1 Storage system fan failure (%2 Slot %3, Fan%4, Location %5)",fan,0,train,"['failure', 'system']","%1 Storage fan (%2 Slot %3, Fan%4, Location %5)"
Processor Built-In Self-Test (BIST) failure,cpu,0,train,['failure'],Processor Built-In Self-Test (BIST)
"Server_Administrator: [NUM] - Instrumentation Severity: Critical, Category: System Health, MessageID: PSU0912, Message: A failure detected [path] unit PS2 Status.",power,0,train,"['detected', 'failure']","Server_Administrator: [NUM] - Instrumentation Severity: Critical, Category: System Health, MessageID: PSU0912, Message: A [path] unit PS2 Status."
HPE Persistent Memory Error,memory,0,train,['Error'],HPE Persistent Memory
"NVRM: Xid (PCI:0000:08:00): 69, pid=222118, Class Error: ChId 004b, Class 0000c197, Offset 00001944, Data 00000005, ErrorCode 0000000c",gpu,0,train,"['NVRM:', '69,']","Xid (PCI:0000:08:00): pid=222118, Class Error: ChId 004b, Class 0000c197, Offset 00001944, Data 00000005, ErrorCode 0000000c"
The peripheral sled in the slot arg1 has an internal cable disconnected or is missing required expanders.,storage,0,test,"['has', 'The']",peripheral sled in slot arg1 an internal cable disconnected or is missing required expanders.
"dracut: dracut module 'plymouth' will not be installed, because it's in the list to be omitted!",os,0,train,"['will', 'module']","dracut: dracut 'plymouth' not be installed, because it's in the list to be omitted!"
Unable to turn on the server because the chassis cover is open.,board,0,train,"['because', 'cover']",Unable to turn on the server the chassis is open.
mmsysmon: [E] Event raised: The file system gpfs.ml3 was forced (forced) to unmount.,file system,0,train,"['forced', 'was']",mmsysmon: [E] Event raised: The file system gpfs.ml3 (forced) to unmount.
pmlogger_daily: mktemp: failed to create directory via template ??path]?? no space left on device,file system,0,test,"['failed', 'directory']",pmlogger_daily: mktemp: to create via template ??path]?? no space left on device
The power cord sensor is non-functional.,power,0,train,['is'],The power cord sensor non-functional.
CPU arg1 protocol error detected.,cpu,0,train,['CPU'],arg1 protocol error detected.
The disk drive bay arg1 voltage is less than the lower critical threshold.,"voltage, current",0,train,"['is', 'The']",disk drive bay arg1 voltage less than lower critical threshold.
Power supply arg1 failed.,power,0,train,['supply'],Power arg1 failed.
The system board arg1 current is less than the lower critical threshold.,"voltage, current",0,train,"['is', 'The']",system board arg1 current less than lower critical threshold.
An interlock power down error detected on power unit arg1 .,power,0,train,['An'],interlock power down error detected on power unit arg1 .
abrtd: Marking '[path][TIMESTAMP]' not reportable (no 'count' item),file system,0,train,['not'],abrtd: Marking '[path][TIMESTAMP]' reportable (no 'count' item)
Single-bit ECC error limit exceeded on the arg1 DIMM.,memory,0,test,['exceeded'],Single-bit ECC error limit on the arg1 DIMM.
"kernel: LustreError: LOG ID:(osc_request.c:[kNUM]:brw_interpret()) lsr05-OST[kNUM]osc-[ID]: too many resent retries for object: 107LOG I[kNUM], rc = [kNUM]",file system,0,train,"['kernel:', 'LOG']","LustreError: ID:(osc_request.c:[kNUM]:brw_interpret()) lsr05-OST[kNUM]osc-[ID]: too many resent retries for object: 107LOG I[kNUM], rc = [kNUM]"
"kernel: lockd: failed to reclaim lock for [PID] (errno 0, status 1)",service,0,train,"['to', 'failed']","kernel: lockd: reclaim lock for [PID] (errno 0, status 1)"
kernel: nvidia: module verification signature and/or required key missing - tainting kernel,"bios, firmware, driver",0,train,"['missing', 'kernel:']",nvidia: module verification signature and/or required key - tainting kernel
The chassis inlet temperature is less than the lower critical threshold temperature.,board,0,train,"['is', 'The']",chassis inlet temperature less than lower critical threshold temperature.
NVDIMM is not accessible,memory,0,train,['is'],NVDIMM not accessible
"mmfs: [X] Health check thread is unresponsive, suspending disk lease renewals",file system,0,train,"['is', 'suspending']","mmfs: [X] Health check thread unresponsive, disk lease renewals"
HPE Persistent Memory Health Error: Processor%1 DIMM %2 (SN: %3),memory,0,train,['Health'],HPE Persistent Memory Error: Processor%1 DIMM %2 (SN: %3)
CPU arg1 is absent,cpu,0,test,['is'],CPU arg1 absent
kernel: [PID](systemd-journal) over core_pipe_limit,"resource management, scheduler",0,test,['over'],kernel: [PID](systemd-journal) core_pipe_limit
mmsysmon: [E] Event raised: The IBM Spectrum Scale service process not running [path] node. Normal operation be done.,file system,0,train,"['not', 'raised:']",mmsysmon: [E] Event The IBM Spectrum Scale service process running [path] node. Normal operation be done.
"kernel: ata[kNUM]: HPA support seems broken, skipping HPA handling",storage,0,test,['seems'],"kernel: ata[kNUM]: HPA support broken, skipping HPA handling"
CPU arg1 has a thermal trip (over-temperature) event.,cpu,0,train,['has'],CPU arg1 a thermal trip (over-temperature) event.
CPU arg1 initialization error detected.,cpu,0,train,['CPU'],arg1 initialization error detected.
"systemd: libvirtd.service: Main process exited, code=exited, status=3[path]",service,0,train,['process'],"systemd: libvirtd.service: Main exited, code=exited, status=3[path]"
kernel: arp_error_report+[ADDR][path],os,0,train,['kernel:'],arp_error_report+[ADDR][path]
Internal I/O failure.,"bus, io module, pci",0,test,['Internal'],I/O failure.
The power input for CPU arg1 voltage regulator module is lost.,"voltage, current",0,train,"['is', 'The']",power input for CPU arg1 voltage regulator module lost.
CPU arg1 temperature is outside of range.,cpu,0,train,['is'],CPU arg1 temperature outside of range.
Bad block medium error is detected at block arg1 on arg2 .,storage,0,train,"['is', 'detected']",Bad block medium error at block arg1 on arg2 .
Power supply cable has been removed from arg1 .,power,0,test,['has'],Power supply cable been removed from arg1 .
collectl: E-Error writing to raw.gz file: no space left on device,file system,0,train,"['writing', 'to']",collectl: E-Error raw.gz file: no space left on device
PCIe Full Slot Training Failure,"bus, io module, pci",0,train,['Failure'],PCIe Full Slot Training
An under current fault detected on power supply arg1 .,"voltage, current",0,train,['An'],under current fault detected on power supply arg1 .
Power supply arg1 revision mismatch detected.,power,0,train,['mismatch'],Power supply arg1 revision detected.
Processor module arg1 voltage is greater than the upper critical threshold.,"voltage, current",0,train,"['is', 'module']",Processor arg1 voltage greater than the upper critical threshold.
CPU arg1 is stuck in POST.,cpu,0,train,['is'],CPU arg1 stuck in POST.
Unable to turn on the server because of current chassis storage setup or the chassis storage settings.,board,0,train,"['because', 'to']",Unable turn on the server of current chassis storage setup or the chassis storage settings.
"kernel: nvidia-nvswitch5: SXid (PCI:[device id]): [kNUM], SOE HALTED",switch,0,train,['kernel:'],"nvidia-nvswitch5: SXid (PCI:[device id]): [kNUM], SOE HALTED"
An uncorrectable Memory Error has occurred because a Non-Volatile Dual In-line Memory Module (NVDIMM) is not functioning.,memory,0,train,"['is', 'Dual']",An uncorrectable Memory Error has occurred because a Non-Volatile In-line Memory Module (NVDIMM) not functioning.
Unsupported NVDIMM-N configuration detected- Processor %1 DIMM %2,memory,0,train,['configuration'],Unsupported NVDIMM-N detected- Processor %1 DIMM %2
kernel: LNetError: LOG ID:(o2iblnd.c:[kNUM]:kiblnd_startup()) ko2iblnd: No matching interfaces,file system,0,test,['No'],kernel: LNetError: LOG ID:(o2iblnd.c:[kNUM]:kiblnd_startup()) ko2iblnd: matching interfaces
System board - Data errors.,board,0,train,['errors.'],System board - Data
Unable to connect to the DNS server.,nic,0,train,['Unable'],to connect to the DNS server.
Intel QPI interconnect arg1 has degraded.,"bus, io module, pci",0,train,['has'],Intel QPI interconnect arg1 degraded.
